Armring	Bandformig armring
Avslag	Plattformsuppfriskningsavslag från kärna
Bälteplatta	Bälteplata med bågdekor
Benspets	Benspets
Bryne	Hängbryne
Dolk	Grepplattedolk
Dolk	Grepptungedolk
Dolk	Flintdolk
Dolkstav	Dolkstav
Driven bronsplåt	Kärlfragment
Fibula	Tutulusformat spänne
Fibula	Treflikigt spänne
Fibula	S-formig plattfibula
Fibula	Ringspänne
Fibula	Oval spännbuckla
Fibula	Näbbfibula
Fibula	Korsformig fibula
Fibula	Glasögonfibula
Fibula	Fågelfibula
Fibula	Dosformigt spänne
Fibula	Djurhuvudformigt spänne
Fibula	Armborstfibula
Fibula	Likarmad fibula
Fibula	Bågfibula
Fibula	Bygelfibula
Figur	Människofigur
Fiskekrok	Fiskekrok
Gjutform	Tudelad gjutform
Hacka	Nordbottniskt redskap
Halsring	Vriden halsring med ovala ändplattor
Halsring	Wendelring
Halsring	Kulhalsring
Halsring	Kronhalsring
Hänge	Skifferhänge
Harpun	Harpun
Hjälm	Tunnhjälm
Kam	Osamansatt enkelkam
Kam	Sammansatt enkelkam
Kärl	Erteböllekärl
Kärl	Kopp
Kärl	buk
Kärl	Kragflaska
Kärl	mynning
Kärl	botten
Kärlfragment	botten
Kärlfragment	buk
Kärlfragment	mynning
Kärna	Handtagskärna
Kärna	Konisk kärna
Kärna	Spånblock
Klubba	Klubba med skaftränna
Knapp	Dubbelknapp
Knapp	Tutulus
Kniv	Spånkniv
Kniv	Rakkniv
Kopp	mynning
Kopp	botten
Kopp	buk
Lansspets	Kavelspjut
Lersked	Lersked
Mejsel	Mejsel
Nål	vårthuvudnål
Nål	Dräktnål
Nål	Stångnål
not defined	not defined
Pärla	Bärnstenspärla
Pärla	Hasselnötsskalpärla
Pilspets	Tvärpil
Pilspets	Tångepilspets
Pryl	Pryl
Redskap	T-format redskap
Skålgropssten	Skålgropssten
Skära	Flintskära
Skära	Knappskära
Sköldhandtag	Sköldhandtagsbeslag
Skrapa	Spånskrapa
Skrapa	Skivskrapa
Skrapa	Skedformig
Skrapa	Skedskrapa
Slipsten	Lårbensformad slipsten
Sölja	Remsölja
Spån	Ryggat Spån
Sporre	Stolsporre
Stickel	Kantstickel
Stickel	Mittstickel
Svärd	Fullgreppsdolk
Svärd	Fullgreppsvärd
Svärd	Grepptångesvärd
Svärd	Grepptungesvärd
Svärd	Miniatyrsvärd
Svärd	Svärdsknapp
Tacka	Aunjetitztacka
Yxa	Tunnackig yxa
Yxa	Avsatsyxa
Yxa	Skafthålshyxa
Yxa	Dubbeleggad
Yxa	Dubbeleggad stridsyxa
Yxa	Enkel skafthålsyxa
Yxa	Flatyxa
Yxa	Fredsgårdsyxa
Yxa	Fyrsidig yxa
Yxa	Håleggad yxa
Yxa	Holkyxa
Yxa	Kärnyxa
Yxa	Limhamnsyxa
Yxa	Mångkantsyxa
Yxa	Båtyxa
Yxa	Skafthålsyxa
Yxa	Skaftlappsyxa
Yxa	Skivyxa
Yxa	Skyvyxa
Yxa	Spetsnackig
Yxa	Spetsnackig yxa
Yxa	Stridsyxa
Yxa	Stridsyxa (båtyxa)
Yxa	Tjocknackig yxa
Yxa	Trindyxa
