timeline	time_macro	time_generic	time_specific	start	end
Sweden	Stone Age	Paleolithic	Paleolithic	-13000	-9501
Sweden	Stone Age	Mesolithic	Mesolithic	-9500	-4001
Sweden	Stone Age	Neolithic	Early Neolithic	-4000	-3501
Sweden	Stone Age	Neolithic	Early Neolithic II	-3500	-3301
Sweden	Stone Age	Neolithic	Middle Neolithic A	-3300	-2801
Sweden	Stone Age	Neolithic	Middle Neolithic B	-2800	-2301
Sweden	Stone Age	Neolithic	Late Neolithic I	-2300	-1951
Sweden	Stone Age	Neolithic	Late Neolithic II	-1950	-1751
Sweden	Bronze Age	Early Bronze Age	Period I	-1750	-1501
Sweden	Bronze Age	Early Bronze Age	Period II	-1500	-1301
Sweden	Bronze Age	Early Bronze Age	Period III	-1300	-1101
Sweden	Bronze Age	Late Bronze Age	Period IV	-1100	-851
Sweden	Bronze Age	Late Bronze Age	Period V	-850	-751
Sweden	Bronze Age	Late Bronze Age	Period VI	-750	-501
Sweden	Iron Age	Pre Roman Iron Age	Period I	-500	-301
Sweden	Iron Age	Pre Roman Iron Age	Period II	-300	-151
Sweden	Iron Age	Pre Roman Iron Age	Period III	-150	-1
Sweden	Iron Age	Roman Iron Age	Early Roman Iron Age	0	200
Sweden	Iron Age	Roman Iron Age	Late Roman Iron Age	201	400
Sweden	Iron Age	Migration Period	Migration Period	401	550
Sweden	Iron Age	Vendel Period	Vendel Period	551	800
Sweden	Iron Age	Viking Age	Viking Age	801	1050
Sweden	Middle Age	Early Middle Ages	Early Middle Ages	1051	1396
Sweden	Middle Age	High Middle Ages	Kalmar Union	1397	1521
Sweden	Modern Period	Early Modern Period	Early Vasa Era	1522	1611
